datetime,temperature_degC,probe_id
2022-12-20 21:41:35,37.38,TB
2022-12-20 21:41:35,35.38,TC
2022-12-20 21:46:36,34.00,TD
2022-12-20 21:46:36,38.31,TA
2022-12-20 21:46:36,37.38,TB
2022-12-20 21:46:36,35.38,TC
2022-12-20 21:51:37,34.00,TD
2022-12-20 21:51:37,38.38,TA
2022-12-20 21:51:37,37.38,TB
2022-12-20 21:51:37,35.31,TC
2022-12-20 21:56:38,34.00,TD
2022-12-20 21:56:38,38.31,TA
2022-12-20 21:56:38,37.44,TB
2022-12-20 21:56:38,35.38,TC
2022-12-20 22:01:39,34.00,TD
2022-12-20 22:01:39,38.38,TA
2022-12-20 22:01:39,37.44,TB
2022-12-20 22:01:39,35.38,TC
2022-12-20 22:06:40,34.00,TD
2022-12-20 22:06:40,38.38,TA
2022-12-20 22:06:40,37.44,TB
2022-12-20 22:06:40,35.44,TC
2022-12-20 22:11:41,34.00,TD
2022-12-20 22:11:41,38.38,TA
2022-12-20 22:11:41,37.50,TB
2022-12-20 22:11:41,35.38,TC
2022-12-20 22:16:42,34.00,TD
2022-12-20 22:16:42,38.38,TA
2022-12-20 22:16:42,37.50,TB
2022-12-20 22:16:42,35.38,TC
2022-12-20 22:21:43,33.94,TD
2022-12-20 22:21:43,38.38,TA
2022-12-20 22:21:43,37.50,TB
2022-12-20 22:21:43,35.31,TC
2022-12-20 22:26:44,34.00,TD
2022-12-20 22:26:44,38.44,TA
2022-12-20 22:26:44,37.50,TB
2022-12-20 22:26:44,35.31,TC
2022-12-20 22:31:45,33.94,TD
2022-12-20 22:31:45,38.44,TA
2022-12-20 22:31:45,37.56,TB
2022-12-20 22:31:45,35.38,TC
2022-12-20 22:36:46,34.00,TD
2022-12-20 22:36:46,38.44,TA
2022-12-20 22:36:46,37.56,TB
2022-12-20 22:36:46,35.31,TC
2022-12-20 22:41:47,34.00,TD
2022-12-20 22:41:47,38.50,TA
2022-12-20 22:41:47,37.56,TB
2022-12-20 22:41:47,35.38,TC
2022-12-20 22:46:48,34.00,TD
2022-12-20 22:46:48,38.44,TA
2022-12-20 22:46:48,37.56,TB
2022-12-20 22:46:48,35.31,TC
2022-12-20 22:51:49,34.06,TD
2022-12-20 22:51:49,38.44,TA
2022-12-20 22:51:49,37.56,TB
2022-12-20 22:51:49,35.38,TC
2022-12-20 22:56:50,34.00,TD
2022-12-20 22:56:50,38.50,TA
2022-12-20 22:56:50,37.63,TB
2022-12-20 22:56:50,35.38,TC
2022-12-20 23:01:51,34.00,TD
2022-12-20 23:01:51,38.50,TA
2022-12-20 23:01:51,37.56,TB
2022-12-20 23:01:51,35.38,TC
2022-12-20 23:06:52,34.00,TD
